  N              L              E(X)
-------------------------------------------------
  11    4.81643974057699964   3.944305e-31
  12    4.82842712474572267   4.930381e-32
  13    4.82842712474620051   0.000000e+00
  14    4.82842712474619162   1.183291e-30
  15    5.20000000000000906   5.916457e-31
  16    5.29670082928742403   4.930381e-32
  17    5.29983164553723451   0.000000e+00
  18    5.32820117735138599   7.888609e-31
  19    5.45895321699043912   4.930381e-31
  20    5.60515495761649341   0.000000e+00
  21    5.64273441009200027   0.000000e+00
  22    5.77123616632827208   0.000000e+00
  23    5.82015319108300044   5.916457e-31
  24    5.86370330515628879   7.888609e-31
  25    5.95933082207100018   9.860761e-32
  26    5.99142624677336944   3.204747e-30
  27    6.00000000000000000   1.064962e-29
  28    6.24254772772400024   3.451266e-31
  29    6.24264068711929898   3.944305e-31
  30    6.24264068711929010   6.113672e-30
  31    6.24264068711929099   1.281899e-30
  32    6.24264068711928743   3.254051e-30
  33    6.46807804653548679   1.972152e-31
  34    6.57388316583200005   5.916457e-31
  35    6.59332590941915431   1.183291e-30
  36    6.69441811977405798   1.972152e-31
  37    6.70863448259528905   8.381647e-31
  38    6.70966357448515360   3.254051e-30
  39    6.77427011715800020   4.930381e-31
  40    6.80000000000000604   2.761013e-30
  41    6.90427125129500041   9.860761e-32
  42    6.99078631162899988   4.930381e-32
  43    7.05953862990700021   4.930381e-32
  44    7.09921668906215686   8.874685e-31
  45    7.11076032141310854   7.839305e-30
  46    7.13028392010327217   2.415887e-30
  54    7.56411173628200029   6.902533e-31
  50    7.35540130716904184   6.754622e-30
  56    7.65343282289000015   0.000000e+00
  55    7.62088232804199972   2.465190e-31
  58    7.65684109357799958   4.930381e-32
  51    7.40614134972322624   2.834969e-29
  53    7.50576976404799989   1.183291e-30
  49    7.32994029055099983   3.944305e-31
  57    7.65566970730623719   6.409495e-31
  48    7.14495755427529033   1.577722e-30
  60    7.65685424949238858   9.318419e-30
  52    7.47272243951040682   4.437343e-31
  59    7.65685424949239035   4.092216e-30
  47    7.14495674835804717   8.381647e-31
  61    7.65685424949238502   4.437343e-31
  62    7.65685424949238325   2.958228e-30
  63    7.65685424949237969   1.104405e-29
  64    7.88994771481702717   3.648482e-30
  65    7.92502097096470592   4.930381e-32
  66    7.95294094038700017   2.465190e-31
  67    8.03334882129199990   0.000000e+00
  68    8.10138682317499992   3.944305e-31
  69    8.12083445886099931   4.437343e-31
  70    8.12758822995500019   1.084684e-30
  71    8.12813218396200021   1.084684e-30
  73    8.21101932778499943   2.958228e-31
  72    8.12825877028342880   1.479114e-30
  75    8.24256574623399985   2.958228e-31
  74    8.24138961091099986   4.437343e-31
  83    8.59954955900421858   8.726774e-30
  78    8.43554148514902380   1.025519e-29
  88    8.65640235470299935   3.352659e-30
  90    8.82750061894700089   1.281899e-30
  92    8.88877808043599948   7.888609e-31
  80    8.48981969063500053   6.409495e-31
  76    8.32060589683099927   2.169367e-30
  82    8.55921707658529307   4.590184e-29
  93    8.89854879389199915   6.902533e-31
  94    8.92382180259999913   1.528418e-30
  79    8.47357056527000019   1.725633e-30
  86    8.59966329107444416   4.683862e-30
  95    8.94772959585299965   5.916457e-31
  77    8.39947076391514713   7.888609e-30
  97    8.96466709080000079   5.916457e-31
  99    8.97767150829499982   2.958228e-31
  81    8.53986813217500895   9.860761e-32
  96    8.95601298654199951   3.944305e-31
  89    8.78968670811599928   4.930381e-31
  85    8.59966329107444771   4.831773e-30
 100    8.97808335282200076   1.183291e-30
  91    8.86321450964012847   1.331203e-29
  84    8.59966329107449567   1.232595e-30
  87    8.59966329107444416   6.508102e-30
  98    8.96708219295799935   0.000000e+00
 196   11.07106781186548972   6.606710e-30
